cadena,dades_nutri,descr_add,format,info_prod,ingredients,instr,marca,nom_producte,preu,preu_volum,subconjunt
BonPreu," per 100 g  Valor energètic  1458 kJ / 344 kcal  Greixos  2,0 g  dels quals saturats  0,5 g  Hidrats de Carboni  68 g  dels quals sucres  3,5 g  Proteïnes  12 g  Sal  0,03 g","Pasta alimentària de qualitat superior.Fabricat i envasat per P.A.G. SL per a BON PREU, SAU Ctra. C-17 km 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Macarrons fins Bonpreu en paquet de 500 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,"Conserveu-los en un lloc fresc, sec i aïllat del terra.Per cada 100 grams de pasta utilitzeu 1 litre de brou o d'aigua salada. Porteu a l'ebullició el brou o l'aigua, afegiu-hi la pasta i bulliu-la durant el temps indicat segons si es prefereix consumir-la al dente o no. Al dente: 6 min. Suau: 8 min.",BONPREU,BONPREU Macarrons fins,0.55,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  344 kcal / 1458 kJ  Greixos  2 g  dels quals saturats  0,5 g  Hidrats de carboni  68 g  dels quals sucres  3,5 g  Proteïna alimentària  3 g  Proteïnes  12 g  Sal  0,03 g","Pasta alimentària de qualitat superior. País orígen: Espanya.Nom de l'operador:COMERCIAL GALLO SAUAVDA. DIAGONAL    468 08006, BARCELONAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.45kg,Espaguetis Nº3 Gallo en paquet de 450 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,Mantenir en lloc fresc i sec.,GALLO,GALLO Espaguetis Nº3,1.16,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1458 kJ / 344 kcal  Greixos  2 g  dels quals saturats  0,5 g  Hidrats de Carboni  68 g  dels quals sucres  3,5 g  Proteïnes  12 g  Sal  0,1 g","Pasta alimentària de qualitat superior. Fabricat i envasat per P.A.G. SL per a Bon Preu, SAU Ctra. C-17 km 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Macarrons gruixuts Bonpreu en paquet de 500 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,"Conserveu el producte a un lloc fresc, sec i aïllat del terra. 1l d'aigua per cada 100g de pasta i sal al gust. Feu bullir l'aigua. Afegiu-hi la pasta i bulliu-la durant els minuts indicats, segons si la voleu al dente o suau. Al dente: 7 min. Suau: 9 min.",BONPREU,BONPREU Macarrons gruixuts,0.55,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1521 kJ / 359 kcal  Greixos  2,0 g  dels quals saturats  0,5 g  Hidrats de Carboni  71,2 g  dels quals sucres  3,5 g  Fibra Alimentària  3,0 g  Proteïnes  12,5 g  Sal  0,013 g","Pasta alimentícia de sèmola de blat dur. País orígen: Itàlia.Temps de cocció: 11 minuts.Nom de l'operador:BARILLA ESPAÑA, SLEDIFICI MAPFRE. C/ MARINA, 16-18 PLANTA 10D 08005, BARCELONAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Macarrons Nº73 Barilla en capsa de 500 grams,"INGREDIENTS:sèmola de blat dur, aigua. Pot contenir ou.",Tirar sal a l'aigua bullent. Afegir la pasta. Remoure durant el primer minut de cocció. Temps de cocció 11 minuts. Escórrer sense eliminar tota l'aigua.Conservar en lloc fresc i sec.,BARILLA,BARILLA Macarrons Nº73,1.45,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1458 kJ / 344 kcal  Greixos  2,0 g  dels quals saturats  0,5 g  Hidrats de Carboni  68 g  dels quals sucres  3,5 g  Proteïnes  12 g  Sal  0,03 g","Pasta alimentària de qualitat superior.Fabricat i envasat per P.A.G. SL per a BON PREU, SAU Ctra. C-17 km 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Espaguetis Bonpreu en paquet de 500 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,"Conserveu-los en un lloc fresc, sec i aïllat del terra.Per cada 100 grams de pasta utilitzeu 1 litre de brou o d'aigua salada. Porteu a l'ebullició el brou o l'aigua, afegiu-hi la pasta i bulliu-la durant el temps indicat segons si es prefereix consumir-la al dente o no. Al dente: 8 min. Suau: 10 min. ",BONPREU,BONPREU Espaguetis,0.55,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1458 kJ / 344 kcal  Greixos  2,0 g  dels quals saturats  0,5 g  Hidrats de Carboni  68 g  dels quals sucres  3,5 g  Proteïnes  12 g  Sal  0,03 g","Pasta alimentària de qualitat superior.Fabricat i envasat per P.A.G. SL per a Bon Preu, SAU Ctra. C-17 km 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Pasta pistons Bonpreu en paquet de 500 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,"Conserveu-los en un lloc fresc, sec i aïllat del terra.Per cada 100 grams de pasta utilitzeu 1 litre de brou o d'aigua salada. Porteu a l'ebullició el brou o l'aigua, afegiu-hi la pasta i bulliu-la durant el temps indicat segons si es prefereix consumir-la al dente o no. Al dente: 4 min. Suau: 6 min.",BONPREU,BONPREU Pasta pistons,0.69,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1521 kJ / 359 kcal  Greixos  2 g  dels quals saturats  0,5 g  Hidrats de carboni  71,2 g  dels quals sucres  3,5 g  Fibra alimentària  3 g  Proteïnes  12,5 g  Sal  0,013 g","Pasta alimentària de sèmola de blat dur.País d'origen: Itàlia.Nom de l'operador:BARILLA ESPAÑA, SLEDIFICI MAPFRE. C/ MARINA, 16-18 PLANTA 10D 08005, BARCELONAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Espaguetis Nº5 Barilla en capsa de 500 grams,"INGREDIENTS: sèmola de blat dur, aigua.Pot contenir ou.",Conservar en lloc fresc i sec.Temps de cocció: 8 minuts.,BARILLA,BARILLA Espaguetis Nº5,1.45,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1458 kJ / 344 Kcal  Greixos  2 g  dels quals saturats  0,5 g  Hidrats de Carboni  68 g  dels quals sucres  3,5 g  Proteïnes  12 g  Sal  0,03 g","Pasta alimentària de qualitat superior.Fabricat i envasat per P.A.G. SL per a Bon Preu, SAU Ctra. C-17 km 73 08508 Les Masies de Voltregà.Fet a Catalunya.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Galets mitjans Bonpreu en paquet de 500 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,"Conserveu-los en un lloc fresc, sec i aïllat del terra.1l d'aigua per cada 100g de pasta i sal al gust. Feu bullir l'aigua. Afegiu-hi la pasta i bulliu-la durant els minuts indicats, segons si la voleu al dente o suau. Recomanem bullir la pasta després de preparar la salsa o el condiment.",BONPREU,BONPREU Galets mitjans,0.55,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  1458 kJ / 344 kcal  Greixos  2,0 g  dels quals saturats  0,5 g  Hidrats de Carboni  68 g  dels quals sucres  3,5 g  Proteïnes  12 g  Sal  0,03 g","Pasta alimentària de qualitat superior.Fabricat i envasat per P.A.G. SL per a Bon Preu, SAU Ctra. C-17 km 73 - 08508 Les Masies de Voltregà.Avís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.5kg,Tallarines Bonpreu en paquet de 500 grams,INGREDIENTS: sèmola de blat dur.Pot contenir ou.,"Conserveu-los en un lloc fresc, sec i aïllat del terra.Per cada 100 grams de pasta utilitzeu 1 litre de brou o d'aigua salada. Porteu a l'ebullició el brou o l'aigua, afegiu-hi la pasta i bulliu-la durant el temps indicat segons si es prefereix consumir-la al dente o no. Al dente: 6 min. Suau: 8 min.",BONPREU,BONPREU Tallarines,0.55,,Nutrició esportiva
BonPreu," per 100 g  Valor energètic  344 kcal / 1457 kJ  Greixos  2 g  dels quals saturats  0,5 g  Hidrats de carboni  67 g  dels quals sucres  4 g  Fibra alimentària  5 g  Proteïnes  12 g  Sal  0,05 g","Pasta alimentària de qualitat superior. Amanides d'espirals amb tomàquets i espinacs.Font de fibra triple natural.País d'origen: Espanya.Nom de l'operador:COMERCIAL GALLO SAUAVDA. DIAGONAL    468 08006, BARCELONAAvís:La informació del producte pot no estar actualitzada. Et recomanem que revisis la informació de l'envàs del producte abans d'utilitzar-lo o consumir-lo, per confirmar la seva composició i al·lèrgens, entre altres.",0.45kg,Espirals amb vegetals Gallo Ensaladas en paquet de 450 grams,"INGREDIENTS: Pasta alimentària de qualitat superior: sèmola de blat dur. Pasta alimentària composta als espinacs: sèmola de blat dur, espinacs deshidratats (2,5%). Pasta alimentària composta al tomàquet: sèmola de blat dur, tomàquet concentrat 28/30º Brix (5%).Pot contenir ou.","Coure la pasta en aigua bullint amb sal (1 litre d'aigua per cada 100g de pasta). Remenar fins que torni a bullir (7 minuts al dente i 9 minuts suau). Escórrer, condimentar al gust i servir immediatament.Mantenir en lloc fresc i sec.",GALLO,GALLO Espirals amb vegetals,1.57,,Nutrició esportiva
